fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:32:51 AM
VariableInfo
Name:,lightgraph1.raw.Marker1
Size:,18 x 2
Type:,Numeric
Content:,Marker
Date:,2/26/2025 10:32:33 AM
Notes:,Marker saved by Lightgraph from files C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 08\SUB_08_01.nir  C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 08\SUB_08_01_C.mrk
Labels:,MARKER
VariableData
Marker,Marker
MarkerTime,MarkerType
24.118,-2
33.813,-3
33.813,-4
34.632,-5
46.984,1
108.453,2
165.5,2
307.062,1
426.828,2
641.359,1
761.937,2
1000.922,1
1120.453,2
1289.015,1
1408.734,2
1547.437,1
1554.14,1
1571.905,-1
