fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:34:26 AM
VariableInfo
Name:,lightgraph1.raw.Info1
Size:,25 variables
Type:,List
Content:,Composite
Date:,2/26/2025 10:34:09 AM
Notes:,Additional information saved by Lightgraph from files C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 08\SUB_08_02_02041225.nir  C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 08\SUB_08_02_02041225.log
Labels:,INFO
VariableData
VarList contains 25 variables
