fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:06:09 AM
VariableInfo
Name:,lightgraph1.raw.Marker1
Size:,15 x 2
Type:,Numeric
Content:,Marker
Date:,2/26/2025 10:05:17 AM
Notes:,Marker saved by Lightgraph from files C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 01\SUB_01_02_01141708.nir  C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 01\SUB_01_02_01141708_C.mrk
Labels:,MARKER
VariableData
Marker,Marker
MarkerTime,MarkerType
3.067,-2
12.775,-3
12.775,-4
13.591,-5
23.14,1
138.89,2
331.328,1
451.593,1
467.5,7
605.265,1
725.031,2
864.156,1
983.156,2
1118.203,1
1168.333,-1
